Date,Open,High,Low,Close,Adj Close,Volume
03/06/2020,66,67.019997,65.970001,66.790001,66.790001,2723200
04/06/2020,67,67.410004,66.059998,66.18,66.18,1167400
05/06/2020,66.580002,67.550003,66.550003,67.309998,67.309998,1274500
08/06/2020,67.5,68.790001,67.300003,68.559998,68.559998,1392600
09/06/2020,68.440002,68.800003,67.900002,68.449997,68.449997,986700
10/06/2020,70,70.599998,69.150002,70.510002,70.510002,1863300
11/06/2020,70.169998,70.190002,67.099998,67.370003,67.370003,2784400
12/06/2020,69.720001,69.830002,66.870003,68.290001,68.290001,2360700
15/06/2020,68.360001,69.989998,67.889999,69.730003,69.730003,1640100
16/06/2020,70.489998,70.5,68.800003,69.349998,69.349998,1029200
17/06/2020,70.959999,71.779999,70.730003,71.580002,71.580002,1375300
18/06/2020,71.650002,71.849998,71.419998,71.550003,71.550003,920000
19/06/2020,71.720001,71.849998,70.75,70.980003,70.980003,1513900
22/06/2020,71.25,71.809998,70.959999,71.709999,71.709999,605900
23/06/2020,71.809998,72.339996,71.589996,71.639999,71.639999,1189700
24/06/2020,71.389999,71.480003,70.300003,70.650002,70.650002,646500
25/06/2020,70.160004,71.120003,69.720001,71,71,682300
26/06/2020,70.260002,70.419998,69.199997,69.68,69.68,953300
29/06/2020,68.739998,68.849998,68.150002,68.720001,68.720001,972100
30/06/2020,68.629997,69.220001,68.459999,69.129997,69.129997,736700
01/07/2020,69.169998,70.949997,69.169998,70.389999,70.389999,1549700
02/07/2020,70.5,70.5,69.970001,70.230003,70.230003,1087000
06/07/2020,70.519997,70.809998,70.300003,70.529999,70.529999,1397500
07/07/2020,69.82,70.059998,69.050003,69.160004,69.160004,908000
08/07/2020,69.550003,69.849998,68.980003,69.790001,69.790001,533500
09/07/2020,71.32,71.660004,70.480003,71.529999,71.529999,949600
10/07/2020,73,74.110001,72.610001,73.940002,73.940002,1666900
13/07/2020,75.5,76.639999,74.160004,74.360001,74.360001,1814600
14/07/2020,73.389999,74.610001,73.129997,74.519997,74.519997,757600
15/07/2020,76.110001,77.879997,75.889999,76.830002,76.830002,1985200
16/07/2020,76.300003,77.07,76.150002,76.800003,76.800003,935400
17/07/2020,75.959999,76.43,75.440002,76.080002,76.080002,1091700
20/07/2020,77.18,78.5,76.889999,78.18,78.18,875000
21/07/2020,78.25,78.269997,77.150002,77.309998,77.309998,698200
22/07/2020,77.269997,77.599998,76.809998,77.349998,77.349998,417000
23/07/2020,77.480003,77.989998,76.190002,76.419998,76.419998,608100
24/07/2020,75.849998,76.550003,75.339996,76.459999,76.459999,535500
27/07/2020,77.669998,78.610001,77.629997,78.529999,78.529999,911200
28/07/2020,78.5,78.5,77.589996,77.620003,77.620003,479200
29/07/2020,77.629997,78.739998,77.559998,78.349998,78.349998,530400
30/07/2020,77.459999,78.760002,77.330002,78.519997,78.519997,624300
31/07/2020,76.980003,77.970001,76.910004,77.959999,77.959999,1112900
03/08/2020,78.709999,81.410004,78.669998,81.269997,81.269997,2149700
04/08/2020,83.559998,84.150002,82.510002,83.370003,83.370003,1695500
05/08/2020,81.699997,81.790001,80.709999,81.25,81.25,1179100
06/08/2020,80.860001,81.120003,80.360001,80.470001,80.470001,1129800
07/08/2020,80.5,80.730003,79.110001,80.029999,80.029999,1101600
10/08/2020,80.449997,80.449997,79.730003,80.050003,80.050003,644600
11/08/2020,79.919998,80.32,79.220001,79.330002,79.330002,1039600
12/08/2020,79.510002,80.980003,79.459999,80.739998,80.739998,1233600
13/08/2020,81.559998,83.190002,81.269997,82.669998,82.669998,1794200
14/08/2020,83.389999,83.610001,82.879997,82.93,82.93,1419400
17/08/2020,83.529999,83.709999,82.720001,83.449997,83.449997,1237400
18/08/2020,83.849998,83.900002,82.629997,82.980003,82.980003,798200
19/08/2020,81.5,82.07,81.019997,81.099998,81.099998,1354300
20/08/2020,79.07,79.57,78.870003,79.410004,79.410004,1224700
21/08/2020,78.5,78.93,78.199997,78.75,78.75,1337000
24/08/2020,79.910004,80.279999,79.370003,79.769997,79.769997,848500
25/08/2020,79.18,79.620003,79.160004,79.370003,79.370003,636000
26/08/2020,80.400002,81.209999,80.139999,81.120003,81.120003,900600
27/08/2020,81.199997,81.199997,79.970001,80.419998,80.419998,1032800
